BO Iter,Run Number,Best Error,Exploration Bias,Max EI,Theta Max EI,Min Obj,Min Obj Act,Theta Min Obj,Min Obj Cum.,Theta Min Obj Cum.,Time/Iter,Sep Fact,BO Method,Max Evals,Total Run Time
0,0,9.650632465771888,1,0.0,[-1.42490627  0.33997509],-12.342979557016676,14.530706859974126,[ 2.         -1.36504258],14.530706859974126,[ 2.         -1.36504258],0.12674903869628906,0.8,A1,2,0.2534980773925781
1,0,9.650632465771888,1,0.0,[-0.96911387 -1.05327376],-12.60547502524603,14.593293316801017,[ 2.         -1.36755525],14.530706859974126,[ 2.         -1.36504258],0.11458158493041992,0.8,A1,2,0.22916316986083984
0,1,9.650632465771888,1,0.0,[0.72483957 0.77794135],-12.34333908786289,14.530683999503635,[ 2.         -1.36504166],14.530683999503635,[ 2.         -1.36504166],0.10912179946899414,0.8,A1,2,0.21824359893798828
1,1,9.650632465771888,1,0.0,[0.29535515 1.08060354],-12.407646355185632,14.528725655764521,[ 2.         -1.36496276],14.528725655764521,[ 2.         -1.36496276],0.11527514457702637,0.8,A1,2,0.23055028915405273
0,2,9.650632465771888,1,0.0,[-1.75664993 -1.67490103],-12.343339087862848,14.530684078654193,[ 2.         -1.36504166],14.530684078654193,[ 2.         -1.36504166],0.10823893547058105,0.8,A1,2,0.2164778709411621
1,2,9.650632465771888,1,0.0,[1.61302562 1.32677407],-8.239180183346221,14.327794718846018,[ 1.97904206 -1.37347971],14.327794718846018,[ 1.97904206 -1.37347971],0.12399172782897949,0.8,A1,2,0.24798345565795898
0,0,9.650632465771888,1,0.0,[-1.42490627  0.33997509],0.00039047863051644026,0.0016945219855083004,[ 0.99464359 -0.99356569],0.0016945219855083004,[ 0.99464359 -0.99356569],0.6892082691192627,0.8,C2,2,1.3784165382385254
1,0,9.650632465771888,1,168.80858067999011,[ 0.98851042 -0.99208751],0.00048238445406830946,0.0034262716746596596,[ 0.98856964 -0.9921041 ],0.0016945219855083004,[ 0.99464359 -0.99356569],0.873450756072998,0.8,C2,2,1.746901512145996
0,1,9.650632465771888,1,0.0,[0.72483957 0.77794135],0.00039047790465123085,0.0016944505179620321,[ 0.99464388 -0.99356578],0.0016944505179620321,[ 0.99464388 -0.99356578],0.6461637020111084,0.8,C2,2,1.2923274040222168
1,1,9.650632465771888,1,168.80742933129883,[ 0.98476855 -0.9948946 ],0.0005751616582885121,0.0031844868876781444,[ 0.98482247 -0.99490989],0.0016944505179620321,[ 0.99464388 -0.99356578],0.8618268966674805,0.8,C2,2,1.723653793334961
0,2,9.650632465771888,1,0.0,[-1.75664993 -1.67490103],0.00039047863589726956,0.0016945246173654717,[ 0.99464428 -0.99356552],0.0016945246173654717,[ 0.99464428 -0.99356552],0.6183061599731445,0.8,C2,4,2.473224639892578
1,2,9.650632465771888,1,168.81683215588643,[ 0.99694971 -0.99919614],5.3799629146937514e-05,0.00011069341626148995,[ 0.99700686 -0.99921214],0.00011069341626148995,[ 0.99700686 -0.99921214],0.8339676856994629,0.8,C2,4,3.3358707427978516
2,2,0.00011501349921158646,1,0.0,[ 1.02694768 -0.66771892],7.152936260721286e-08,2.0207770847933875e-06,[ 1.00043321 -1.00006509],2.0207770847933875e-06,[ 1.00043321 -1.00006509],0.541942834854126,0.8,C2,4,2.167771339416504
3,2,0.00011501349921158646,1,0.0,[-0.50998775 -0.26297321],2.499085116822722e-06,5.2863022197221246e-05,[ 1.00223141 -1.00030054],2.0207770847933875e-06,[ 1.00043321 -1.00006509],0.5469624996185303,0.8,C2,4,2.187849998474121
