,Run Number,BO Iter,Best Error,Exploration Bias,Max EI,Theta Max EI,Min Obj,Min Obj Act,Theta Min Obj,Min Obj Cum.,Theta Min Obj Cum.,Time/Iter,EP Method Val,BO Method,Max Evals,Total Run Time,L2 Norm Theta
26,12,2,22533.63623687708,1.0,0.0,"[ -1.14131117   1.19690765  -9.136624     0.95184091 -14.68834135
 -19.58446355  -5.39152236  -0.4520024 ]",-1993466535.0813913,5104477.629031163,"[ -1.67376404   0.79616333  -4.65645754  -2.         -13.38654606
  -1.73240208  -5.26910552   1.64470712]",5104477.629031163,"[ -1.67376404   0.79616333  -4.65645754  -2.         -13.38654606
  -1.73240208  -5.26910552   1.64470712]",1.766566276550293,1,A1,3,5.299698829650879,9.82844096593675
40,4,1,10.022764415737555,1.0,0.0,"[ -1.18585107  -0.06600611  -1.46170196  -0.92692972 -19.22193321
  -6.93334129  -0.30098984   0.29431589]",6.786023215828841,15.315326934776534,"[-1.83603887 -2.         -5.43242558 -0.39257745  0.          0.
 -7.06645439  1.30309831]",15.315326934776534,"[-1.83603887 -2.         -5.43242558 -0.39257745  0.          0.
 -7.06645439  1.30309831]",1.2122080326080322,1,B1,2,2.4244160652160645,14.30793485300438
225,4,23,6809.7156904914755,1.0,166418.32515861813,"[-1.09914455 -1.83049983 -5.10429046  0.67394208 -7.79442962 -8.75228325
 -7.11554677  0.7535031 ]",3671.4423440254486,4841.5157190724585,"[-1.07453405 -1.78664182 -5.07544678  0.69111072 -7.09811072 -9.03624019
 -7.10612976  0.74313681]",4841.5157190724585,"[-1.07453405 -1.78664182 -5.07544678  0.69111072 -7.09811072 -9.03624019
 -7.10612976  0.74313681]",2391.993993997574,1,A2,35,83719.78978991508,3.5175047941997417
694,3,11,10.02273631838399,1.0,150.34104477575983,"[ -1.47122318  -0.32878526  -2.7458328   -0.22290398 -15.95936786
 -10.26396799  -2.92319841   1.11648138]",9.808315225377248,10.026193445805324,"[-1.24521512 -2.         -5.064917    0.64877548 -7.66834891 -8.72994805
 -7.09796801  0.91679297]",10.026193445805324,"[-1.24521512 -2.         -5.064917    0.64877548 -7.66834891 -8.72994805
 -7.09796801  0.91679297]",228.41681504249573,1,B2,34,7766.171711444855,3.2521394962288785
1080,0,0,22533.63623687708,1.0,0.0,"[ -1.57068479   1.71565935  -0.66616531   1.26965495  -0.68213959
 -14.78266166  -5.91580651   0.53957358]",1612847.4420530016,1615481.3364289608,"[-0.84736776 -1.59809194 -8.45537911  0.83606839 -9.17790537 -3.80417019
 -6.2906968   0.70469246]",1615481.3364289608,"[-0.84736776 -1.59809194 -8.45537911  0.83606839 -9.17790537 -3.80417019
 -6.2906968   0.70469246]",209.3662815093994,1,C2,2,418.7325630187988,6.582629348242501
